Metric,Node,Group,Average,Median,Std,IQR
NaN Sequence Lengths,backleg_l,199,7.0,2.0,23.87,4.0
NaN Sequence Lengths,backleg_l,274,5.85,2.0,15.56,4.0
NaN Sequence Lengths,backleg_l,400,5.77,2.0,21.16,3.0
NaN Sequence Lengths,backleg_l,402,7.03,2.0,21.43,4.0
NaN Sequence Lengths,backleg_m,199,6.82,2.0,27.23,4.0
NaN Sequence Lengths,backleg_m,274,7.81,2.0,23.74,5.0
NaN Sequence Lengths,backleg_m,400,10.01,3.0,52.92,5.0
NaN Sequence Lengths,backleg_m,402,12.59,3.0,45.11,5.0
NaN Sequence Lengths,backleg_r,199,8.26,2.0,31.62,5.0
NaN Sequence Lengths,backleg_r,274,5.45,2.0,15.93,3.0
NaN Sequence Lengths,backleg_r,400,6.31,2.0,28.95,3.0
NaN Sequence Lengths,backleg_r,402,8.19,3.0,22.92,5.0
NaN Sequence Lengths,body_l,199,4.46,2.0,15.89,3.0
NaN Sequence Lengths,body_l,274,7.94,3.0,19.95,5.0
NaN Sequence Lengths,body_l,400,8.6,2.0,44.69,5.0
NaN Sequence Lengths,body_l,402,8.26,3.0,22.69,5.0
NaN Sequence Lengths,body_m,199,6.31,2.0,12.36,5.0
NaN Sequence Lengths,body_m,274,10.37,2.0,37.78,4.0
NaN Sequence Lengths,body_m,400,8.47,2.0,34.2,4.0
NaN Sequence Lengths,body_m,402,15.27,3.0,48.46,6.0
NaN Sequence Lengths,body_r,199,5.86,2.0,14.35,4.0
NaN Sequence Lengths,body_r,274,6.55,2.0,19.83,4.0
NaN Sequence Lengths,body_r,400,8.91,2.0,44.45,5.0
NaN Sequence Lengths,body_r,402,10.75,3.0,30.69,6.0
NaN Sequence Lengths,cheek_l,199,9.91,3.0,39.96,6.0
NaN Sequence Lengths,cheek_l,274,6.55,3.0,15.71,5.0
NaN Sequence Lengths,cheek_l,400,5.84,2.0,27.3,4.0
NaN Sequence Lengths,cheek_l,402,5.2,2.0,10.98,4.0
NaN Sequence Lengths,cheek_r,199,11.44,3.0,35.71,8.0
NaN Sequence Lengths,cheek_r,274,5.33,2.0,12.77,4.0
NaN Sequence Lengths,cheek_r,400,5.87,2.0,18.79,4.0
NaN Sequence Lengths,cheek_r,402,4.27,2.0,9.08,3.0
NaN Sequence Lengths,ear_l,199,12.99,2.0,38.92,4.0
NaN Sequence Lengths,ear_l,274,3.08,1.0,8.09,2.0
NaN Sequence Lengths,ear_l,400,3.61,2.0,7.47,3.0
NaN Sequence Lengths,ear_l,402,3.01,2.0,5.55,2.0
NaN Sequence Lengths,ear_r,199,4.13,2.0,9.85,2.0
NaN Sequence Lengths,ear_r,274,3.66,2.0,9.58,2.0
NaN Sequence Lengths,ear_r,400,3.38,1.0,14.98,2.0
